epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,340.705,1.07009,1.90303,1.15868,0.97522,0.33333,0.61862,0.53509,1.05978,2.83619,1.09639,0.000467173,0.000467173,0.000467173
2,667.678,0.82574,0.82301,1.01305,0.95538,0.66712,0.94327,0.75009,0.95618,1.67439,1.00949,0.000934166,0.000934166,0.000934166
3,1007.1,0.79186,0.73345,0.9891,0.9339,0.94306,0.97575,0.7578,0.95014,0.93279,1.05972,0.00139173,0.00139173,0.00139173
4,1305.95,0.773,0.69095,0.97508,0.94001,0.9381,0.96596,0.78081,0.85517,0.76975,1.0128,0.00138656,0.00138656,0.00138656
5,3952.17,0.70461,0.61764,0.95035,0.9561,0.97204,0.97062,0.80878,0.82848,0.66839,0.97859,0.00137241,0.00137241,0.00137241
6,4319.18,0.69273,0.58011,0.94911,0.94793,0.9263,0.96847,0.8017,0.8203,0.73813,0.95533,0.00135826,0.00135826,0.00135826
7,4623.44,0.68878,0.55339,0.94579,0.96719,0.95786,0.97973,0.81858,0.79989,0.66872,0.95809,0.00134412,0.00134412,0.00134412
8,4906.17,0.65973,0.52272,0.93674,0.94954,0.9615,0.98152,0.82297,0.7767,0.5922,0.93891,0.00132997,0.00132997,0.00132997
9,5181.73,0.64979,0.50435,0.92362,0.97343,0.97532,0.98351,0.83114,0.73869,0.53347,0.92396,0.00131582,0.00131582,0.00131582
10,6411.26,0.6352,0.48077,0.93113,0.96591,0.96709,0.97537,0.83349,0.73937,0.55514,0.94376,0.00130168,0.00130168,0.00130168
11,6697.17,0.62584,0.47246,0.91937,0.95544,0.97584,0.98326,0.82493,0.73887,0.54513,0.92948,0.00128753,0.00128753,0.00128753
12,6973.12,0.62855,0.46247,0.92113,0.95174,0.9706,0.98135,0.82015,0.73215,0.50561,0.92234,0.00127338,0.00127338,0.00127338
13,7404.19,0.60702,0.43656,0.91205,0.97585,0.97036,0.98221,0.82107,0.72755,0.50315,0.92315,0.00125923,0.00125923,0.00125923
14,8092.23,0.60955,0.4339,0.91486,0.97395,0.97347,0.98769,0.84469,0.73767,0.49343,0.91493,0.00124509,0.00124509,0.00124509
15,10515.6,0.5974,0.42083,0.90481,0.92583,0.96893,0.98508,0.84584,0.70967,0.59685,0.91413,0.00123094,0.00123094,0.00123094
16,10964.9,0.59166,0.42107,0.90418,0.97192,0.97505,0.98193,0.84707,0.71908,0.4639,0.91731,0.00121679,0.00121679,0.00121679
17,11403.5,0.59072,0.42343,0.90752,0.97018,0.98051,0.98651,0.85688,0.68381,0.48046,0.89566,0.00120265,0.00120265,0.00120265
18,11835.2,0.58704,0.41503,0.90473,0.97331,0.97613,0.98588,0.84953,0.70059,0.45804,0.90805,0.0011885,0.0011885,0.0011885
19,12256.3,0.57631,0.40415,0.89917,0.97459,0.97771,0.98493,0.84508,0.72435,0.50215,0.91225,0.00117435,0.00117435,0.00117435
20,12655.8,0.57743,0.40601,0.90372,0.96774,0.97586,0.98397,0.84222,0.71122,0.50775,0.90752,0.00116021,0.00116021,0.00116021
21,13028.6,0.56406,0.38699,0.90185,0.96438,0.97538,0.98546,0.85494,0.67781,0.48252,0.90291,0.00114606,0.00114606,0.00114606
22,13437.3,0.57019,0.39529,0.89844,0.97961,0.98079,0.98635,0.8555,0.69133,0.45051,0.89519,0.00113191,0.00113191,0.00113191
23,13892.2,0.54949,0.38232,0.89714,0.97249,0.98118,0.98372,0.85844,0.6899,0.4343,0.89291,0.00111776,0.00111776,0.00111776
24,14276.2,0.55031,0.38083,0.89181,0.97411,0.97901,0.98552,0.8582,0.69345,0.46234,0.90814,0.00110362,0.00110362,0.00110362
25,14717.8,0.56124,0.38572,0.89884,0.97225,0.98263,0.98692,0.85394,0.71378,0.49584,0.91121,0.00108947,0.00108947,0.00108947
26,15147.3,0.53906,0.37149,0.89109,0.97758,0.98155,0.98243,0.85856,0.66966,0.41887,0.88416,0.00107532,0.00107532,0.00107532
27,15603.7,0.538,0.36488,0.88649,0.97775,0.97429,0.98579,0.85755,0.68014,0.44024,0.88743,0.00106118,0.00106118,0.00106118
28,16006.5,0.54639,0.36756,0.89027,0.97474,0.98234,0.98624,0.86031,0.66206,0.41116,0.88873,0.00104703,0.00104703,0.00104703
29,16373.3,0.53187,0.36314,0.88534,0.9698,0.9817,0.97982,0.85349,0.67808,0.41058,0.897,0.00103288,0.00103288,0.00103288
30,16723.5,0.54573,0.36796,0.88869,0.96766,0.98138,0.9859,0.86374,0.65227,0.39879,0.89222,0.00101873,0.00101873,0.00101873
31,17067.5,0.52477,0.35276,0.88464,0.97313,0.98302,0.98832,0.86976,0.67089,0.38321,0.89263,0.00100459,0.00100459,0.00100459
32,17403.5,0.52003,0.35006,0.88297,0.97703,0.97676,0.98482,0.86168,0.65852,0.39364,0.89199,0.00099044,0.00099044,0.00099044
33,17729.7,0.51329,0.34738,0.87886,0.97413,0.98193,0.98043,0.86075,0.64447,0.40558,0.88206,0.000976293,0.000976293,0.000976293
34,18062.7,0.53189,0.35163,0.88374,0.9699,0.97591,0.9844,0.8664,0.66204,0.41645,0.89381,0.000962146,0.000962146,0.000962146
35,18418.9,0.51798,0.3452,0.87865,0.97601,0.9824,0.98525,0.86525,0.65932,0.44489,0.8955,0.000947999,0.000947999,0.000947999
36,18830.1,0.51468,0.35444,0.88222,0.97939,0.97798,0.98144,0.86487,0.64528,0.39245,0.88395,0.000933851,0.000933851,0.000933851
37,19226.9,0.50783,0.34387,0.8797,0.97469,0.98404,0.98732,0.865,0.65324,0.42975,0.88864,0.000919704,0.000919704,0.000919704
38,19585.8,0.50543,0.34251,0.87779,0.97461,0.98536,0.98648,0.86387,0.66385,0.40543,0.89218,0.000905557,0.000905557,0.000905557
39,20066,0.50924,0.33929,0.87733,0.97405,0.98293,0.98458,0.86884,0.62628,0.39934,0.87775,0.00089141,0.00089141,0.00089141
40,20477.3,0.50461,0.33403,0.88106,0.97653,0.98443,0.98756,0.8726,0.6447,0.37977,0.88452,0.000877263,0.000877263,0.000877263
41,21729.2,0.49459,0.33511,0.87462,0.97785,0.98559,0.98582,0.86924,0.63146,0.37921,0.88032,0.000863116,0.000863116,0.000863116
42,29225.8,0.50956,0.34075,0.8739,0.98233,0.98631,0.98829,0.87532,0.63471,0.37988,0.89314,0.000848969,0.000848969,0.000848969
43,29708.5,0.49379,0.33348,0.8737,0.98005,0.98272,0.98846,0.87158,0.66654,0.40074,0.89821,0.000834822,0.000834822,0.000834822
44,30144.5,0.50281,0.33233,0.87832,0.97621,0.97475,0.98529,0.86855,0.66377,0.38716,0.90162,0.000820675,0.000820675,0.000820675
45,30660.5,0.49352,0.33148,0.87037,0.97902,0.98367,0.98394,0.87236,0.6313,0.37872,0.88605,0.000806528,0.000806528,0.000806528
46,31161.3,0.48458,0.32083,0.87413,0.97517,0.98462,0.98737,0.87139,0.63364,0.39925,0.88243,0.00079238,0.00079238,0.00079238
47,31675,0.48215,0.32623,0.87136,0.97885,0.98445,0.98844,0.87297,0.62513,0.38298,0.88019,0.000778233,0.000778233,0.000778233
48,32168.7,0.49138,0.32713,0.8691,0.9789,0.98547,0.98758,0.87599,0.63209,0.37645,0.88132,0.000764086,0.000764086,0.000764086
49,32564.4,0.4823,0.31627,0.87061,0.97776,0.98575,0.98774,0.87862,0.61718,0.37446,0.887,0.000749939,0.000749939,0.000749939
50,32979.8,0.47686,0.31732,0.86617,0.97924,0.98579,0.9895,0.87658,0.62697,0.38443,0.87902,0.000735792,0.000735792,0.000735792
51,33361.2,0.47955,0.31691,0.86479,0.9758,0.98287,0.98789,0.87423,0.63105,0.37708,0.88487,0.000721645,0.000721645,0.000721645
52,33754.2,0.46812,0.31476,0.86584,0.97783,0.98025,0.98474,0.87938,0.62522,0.37242,0.88539,0.000707498,0.000707498,0.000707498
53,34181.5,0.4717,0.31318,0.86817,0.97642,0.98136,0.98295,0.87221,0.6143,0.36475,0.87587,0.000693351,0.000693351,0.000693351
54,34561.6,0.47289,0.31349,0.87288,0.97802,0.98653,0.98331,0.87684,0.60891,0.3589,0.87361,0.000679204,0.000679204,0.000679204
55,34946.2,0.46662,0.31318,0.86877,0.98033,0.98815,0.98516,0.87306,0.59626,0.37197,0.86889,0.000665057,0.000665057,0.000665057
56,35351.7,0.47579,0.31049,0.86509,0.97891,0.98227,0.98333,0.86931,0.61865,0.37348,0.89063,0.000650909,0.000650909,0.000650909
57,35783,0.4689,0.30952,0.86523,0.98091,0.9818,0.98407,0.87376,0.61659,0.37822,0.87999,0.000636762,0.000636762,0.000636762
58,36172.5,0.45285,0.30674,0.85921,0.97726,0.98321,0.98422,0.87821,0.59635,0.34116,0.87446,0.000622615,0.000622615,0.000622615
59,36643.8,0.44444,0.29567,0.85959,0.97969,0.98661,0.98738,0.87861,0.60973,0.36018,0.88073,0.000608468,0.000608468,0.000608468
60,37037.1,0.45638,0.30827,0.86413,0.97819,0.9823,0.98389,0.87769,0.6177,0.37402,0.88472,0.000594321,0.000594321,0.000594321
61,37434.1,0.44506,0.29435,0.85825,0.95013,0.98139,0.98586,0.87762,0.60881,0.38226,0.87263,0.000580174,0.000580174,0.000580174
62,37834.6,0.44815,0.30197,0.86452,0.97829,0.98553,0.98364,0.87461,0.6225,0.34604,0.8815,0.000566027,0.000566027,0.000566027
63,38218.4,0.45292,0.29423,0.86076,0.98143,0.98169,0.9872,0.87797,0.60368,0.35509,0.87795,0.00055188,0.00055188,0.00055188
64,38583.8,0.44034,0.29656,0.86131,0.97787,0.98628,0.98632,0.87806,0.60148,0.35445,0.88096,0.000537733,0.000537733,0.000537733
65,38960.2,0.44687,0.29214,0.85962,0.97527,0.98956,0.98941,0.87907,0.6033,0.34483,0.87294,0.000523586,0.000523586,0.000523586
66,39328.5,0.43569,0.29226,0.86178,0.97961,0.98544,0.98317,0.87443,0.60776,0.34553,0.87417,0.000509438,0.000509438,0.000509438
67,39734.6,0.44056,0.29648,0.86385,0.98289,0.98281,0.9895,0.88438,0.60535,0.34742,0.87813,0.000495291,0.000495291,0.000495291
68,40103.4,0.43891,0.29209,0.8597,0.98285,0.98485,0.98701,0.88224,0.60063,0.33495,0.87522,0.000481144,0.000481144,0.000481144
69,40482,0.43384,0.29418,0.85663,0.97568,0.98362,0.9832,0.87317,0.6083,0.34434,0.88174,0.000466997,0.000466997,0.000466997
70,40869.9,0.44042,0.2971,0.8565,0.98142,0.98471,0.9877,0.87902,0.6166,0.34602,0.88078,0.00045285,0.00045285,0.00045285
71,41261.7,0.434,0.28929,0.8594,0.9808,0.98025,0.98628,0.87977,0.61394,0.34165,0.87535,0.000438703,0.000438703,0.000438703
72,41669.6,0.42942,0.28348,0.85549,0.98313,0.98302,0.98618,0.88238,0.60638,0.32903,0.87301,0.000424556,0.000424556,0.000424556
73,42041.5,0.4229,0.2804,0.85762,0.97982,0.98573,0.98488,0.88386,0.59172,0.32679,0.87388,0.000410409,0.000410409,0.000410409
74,42411.1,0.42953,0.28897,0.85705,0.97766,0.98851,0.98803,0.88929,0.59035,0.32817,0.87481,0.000396262,0.000396262,0.000396262
75,42854.1,0.426,0.2862,0.8565,0.97973,0.99032,0.98726,0.88401,0.59464,0.34522,0.873,0.000382115,0.000382115,0.000382115
76,43191.9,0.42069,0.28697,0.85364,0.97386,0.98792,0.98696,0.88728,0.58648,0.33763,0.87152,0.000367967,0.000367967,0.000367967
77,43532.2,0.41483,0.27418,0.85679,0.97878,0.9875,0.98933,0.88592,0.59432,0.33287,0.88155,0.00035382,0.00035382,0.00035382
78,43882.8,0.41552,0.27264,0.8531,0.977,0.98779,0.98728,0.88673,0.58702,0.33295,0.87016,0.000339673,0.000339673,0.000339673
79,44257.6,0.41383,0.27193,0.85265,0.98217,0.98544,0.98856,0.88296,0.59689,0.33345,0.87242,0.000325526,0.000325526,0.000325526
80,44668.1,0.40948,0.27081,0.85078,0.98029,0.98653,0.9847,0.88257,0.57349,0.32582,0.86915,0.000311379,0.000311379,0.000311379
81,44990,0.41637,0.27988,0.85147,0.97941,0.98829,0.98738,0.88594,0.58687,0.33593,0.87187,0.000297232,0.000297232,0.000297232
82,86853.8,0.40061,0.2699,0.85138,0.97675,0.98975,0.98477,0.88493,0.59051,0.32297,0.87388,0.000283085,0.000283085,0.000283085
83,87263.3,0.40861,0.27354,0.8539,0.97777,0.98443,0.98526,0.8811,0.58576,0.32621,0.86946,0.000268938,0.000268938,0.000268938
